"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"312","19:41:42","10.0.2.15","10.0.2.3","UDP","86","46441","53","N/A","0x00","52365"
"313","19:41:42","10.0.2.3","10.0.2.15","UDP","86","53","46441","N/A","0x00","26059"
"314","19:41:43","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","23702"
"315","19:41:43","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26060"
"316","19:41:43","10.0.2.15","10.0.2.3","UDP","97","49758","53","N/A","0x00","7647"
"317","19:41:43","10.0.2.3","10.0.2.15","UDP","97","53","49758","N/A","0x00","26061"
"318","19:41:43","10.0.2.15","10.0.2.3","UDP","86","49758","53","N/A","0x00","7648"
"319","19:41:43","10.0.2.3","10.0.2.15","UDP","86","53","49758","N/A","0x00","26062"
"320","19:41:44","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","24041"
"321","19:41:44","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26063"
"322","19:41:44","10.0.2.15","10.0.2.3","UDP","97","55797","53","N/A","0x00","46437"
"323","19:41:44","10.0.2.3","10.0.2.15","UDP","97","53","55797","N/A","0x00","26064"
"324","19:41:44","10.0.2.15","10.0.2.3","UDP","86","55797","53","N/A","0x00","46438"
"325","19:41:44","10.0.2.3","10.0.2.15","UDP","86","53","55797","N/A","0x00","26065"
